===== SIGNATURE SPEED TEST =====
Configuration info
==================
Target platform:  x86_64-Linux-6.14.0-37-generic
Compiler:         gcc (13.3.0)
Compile options:  [-Wa,--noexecstack;-O3;-fomit-frame-pointer;-fdata-sections;-ffunction-sections;-Wl,--gc-sections;-Wbad-function-cast]
OQS version:      0.15.0 (major: 0, minor: 15, patch: 0)
Git commit:       589731b0c947d73b3d6fc72bcd4e3b6e0ec0bf4e
OpenSSL enabled:  Yes (OpenSSL 3.0.13 30 Jan 2024)
AES:              NI
SHA-2:            OpenSSL
SHA-3:            AVX2
OQS build flags:  OQS_DIST_BUILD OQS_LIBJADE_BUILD OQS_OPT_TARGET=generic CMAKE_BUILD_TYPE=Release 
CPU exts active:  ADX AES AVX AVX2 BMI1 BMI2 PCLMULQDQ POPCNT SSE SSE2 SSE3
Speed test
==========
Started at 2025-12-26 10:50:40
Operation                            | Iterations | Total time (s) | Time (us): mean | pop. stdev | CPU cycles: mean          | pop. stdev
------------------------------------ | ----------:| --------------:| ---------------:| ----------:| -------------------------:| ----------:
ML-DSA-44                            |            |                |                 |            |                           |           
keypair                              |     135699 |          3.000 |          22.108 |      2.479 |                     70513 |       7780
sign                                 |      51551 |          3.000 |          58.196 |     33.179 |                    185695 |     105898
verify                               |     146211 |          3.000 |          20.518 |      2.409 |                     65443 |       7619
ML-DSA-65                            |            |                |                 |            |                           |           
keypair                              |      79312 |          3.000 |          37.826 |      4.164 |                    120665 |      13223
sign                                 |      32152 |          3.000 |          93.308 |     54.189 |                    297760 |     172960
verify                               |      87942 |          3.000 |          34.114 |      2.987 |                    108835 |       9410
ML-DSA-87                            |            |                |                 |            |                           |           
keypair                              |      50947 |          3.000 |          58.886 |      4.776 |                    187890 |      15200
sign                                 |      26046 |          3.000 |         115.184 |     52.270 |                    367590 |     166833
verify                               |      54871 |          3.000 |          54.675 |      3.925 |                    174465 |      12470
Falcon-512                           |            |                |                 |            |                           |           
keypair                              |        549 |          3.003 |        5470.812 |   1321.525 |                  17462650 |    4218318
sign                                 |      15178 |          3.000 |         197.663 |     10.083 |                    630868 |      32152
verify                               |      85341 |          3.000 |          35.153 |      3.163 |                    112144 |       9962
Falcon-1024                          |            |                |                 |            |                           |           
keypair                              |        183 |          3.005 |       16419.404 |   3635.342 |                  52410282 |   11603895
sign                                 |       7595 |          3.000 |         395.026 |     16.982 |                   1260852 |      54195
verify                               |      41680 |          3.000 |          71.979 |      5.751 |                    229685 |      18283
Falcon-padded-512                    |            |                |                 |            |                           |           
keypair                              |        543 |          3.004 |        5531.479 |   1372.489 |                  17656296 |    4380971
sign                                 |      15195 |          3.000 |         197.446 |     11.860 |                    630191 |      37830
verify                               |      83822 |          3.000 |          35.790 |      3.383 |                    114178 |      10735
Falcon-padded-1024                   |            |                |                 |            |                           |           
keypair                              |        182 |          3.013 |       16557.379 |   3985.238 |                  52850836 |   12720838
sign                                 |       7568 |          3.000 |         396.418 |     23.293 |                   1265288 |      74286
verify                               |      40890 |          3.000 |          73.369 |      5.527 |                    234125 |      17573
SPHINCS+-SHA2-128f-simple            |            |                |                 |            |                           |           
keypair                              |      10746 |          3.000 |         279.188 |     18.116 |                    891101 |      57810
sign                                 |        457 |          3.003 |        6570.055 |    245.082 |                  20971399 |     782201
verify                               |       5232 |          3.000 |         573.413 |     22.131 |                   1830254 |      70619
SPHINCS+-SHA2-128s-simple            |            |                |                 |            |                           |           
keypair                              |        175 |          3.015 |       17230.000 |    283.387 |                  54997741 |     904490
sign                                 |         23 |          3.007 |      130730.348 |   1182.954 |                 417288732 |    3776019
verify                               |      12794 |          3.000 |         234.492 |     13.330 |                    748440 |      42523
SPHINCS+-SHA2-192f-simple            |            |                |                 |            |                           |           
keypair                              |       7354 |          3.000 |         407.954 |     17.663 |                   1302131 |      56354
sign                                 |        270 |          3.008 |       11139.689 |    260.736 |                  35557622 |     832205
verify                               |       3846 |          3.000 |         780.123 |     25.871 |                   2490065 |      82557
SPHINCS+-SHA2-192s-simple            |            |                |                 |            |                           |           
keypair                              |        117 |          3.022 |       25825.556 |    474.798 |                  82434624 |    1515603
sign                                 |         12 |          3.033 |      252752.250 |   5685.978 |                 806780464 |   18149612
verify                               |       9053 |          3.000 |         331.410 |     15.974 |                   1057797 |      50993
SPHINCS+-SHA2-256f-simple            |            |                |                 |            |                           |           
keypair                              |       2786 |          3.000 |        1076.948 |     32.272 |                   3437518 |     103000
sign                                 |        130 |          3.012 |       23171.992 |    860.900 |                  73964362 |    2747983
verify                               |       3816 |          3.000 |         786.270 |     29.329 |                   2509678 |      93606
SPHINCS+-SHA2-256s-simple            |            |                |                 |            |                           |           
keypair                              |        176 |          3.001 |       17050.449 |    237.190 |                  54424593 |     757050
sign                                 |         14 |          3.134 |      223865.571 |   1170.927 |                 714574323 |    3737659
verify                               |       6569 |          3.000 |         456.706 |     21.778 |                   1457731 |      69505
